,Total Images,Total Annotated Images,Total UnAnnotated Images,Total Bounding Box,Domain,Part ID,Part Name
147,155,93,62,634,livis,62c6fd3ba4a3e587aff373b5,sony-pcb
148,62,30,32,57,livis,62c860c9214185e1f85ba560,cylinder block side
149,32,32,0,32,livis,62e77d5feac3777b4ac263a0,demo-part
150,0,0,0,0,livis,62ecb1b4c30b4c22dc9b6254,test-part
151,29,29,0,37,livis,62f37313cc03f6f6f10117e9,c-coating002
152,4,3,1,3,livis,632468dd9b1072f630379558,bolt-pin-inspection
153,28,28,0,28,livis,632c0025f345c1eeecfea21a,piston
154,113,113,0,214,livis,6332a6376ba92a4848dbda4b,osmo
155,36,1,35,2,livis,636a49a45edea6479e20d453,kat-bolts
156,64,30,34,420,livis,63884a5340d679bc6cb5cb69,hemlock
157,0,0,0,0,livis,63b2695ed1ae68da8f028b39,leather_hide
158,50,50,0,50,livis,63b3c7f13846355fe9f4dc7f,internal
159,8,8,0,31,livis,63c930ccc8b3c43324fa7886,test
160,15,15,0,31,livis,63d75e1c94cb801df1bc5844,testing_bnd
161,36,1,35,1,livis,63f4e368e951bd6505565097,demo
162,0,0,0,0,livis,6401c5401348643faa512399,surface
