,Total Images,Total Annotated Images,Total UnAnnotated Images,Total Bounding Box,Domain,Part ID,Part Name
0,30,30,0,240,magna-livis,63bd534ff74ed4e31b05b24e,sleeve
1,40,40,0,283,magna-livis,63bd5791152358cb5430747d,short-shaft
