,Total Images,Total Annotated Images,Total UnAnnotated Images,Total Bounding Box,Domain,Part ID,Part Name
0,0,0,0,0,se,62f39c2418dbac8998c870eb,demo use case
1,0,0,0,0,se,632d9e240d9bc3966a0dbe5e,inspection meter stage-1
